basin_id,NSE,KGE,RMSE,Corr,FHV,FLV,source_file
1022500,0.0146917104721069,-0.0561070512012433,2.256581544876098,0.3793678879737854,-80.68535614013672,70.8037338256836,metric_streamflow.csv
1031500,-0.0572817325592041,-0.2214261800486605,3.161510467529297,0.39317387342453,-92.0952606201172,111.70063018798828,metric_streamflow.csv
1047000,-0.0407872200012207,-0.1748685488746193,3.3502979278564453,0.4777570962905884,-91.47144317626952,94.40296173095705,metric_streamflow.csv
1052500,-0.0005190372467041,-0.1397614920680989,3.711205720901489,0.4754394292831421,-89.92440032958984,107.38843536376952,metric_streamflow.csv
1054200,-0.0311472415924072,-0.2570026862348185,5.488567352294922,0.3541157245635986,-93.73995971679688,120.06541442871094,metric_streamflow.csv
1055000,-0.0232396125793457,-0.2107811742740102,4.259542942047119,0.4380058646202087,-93.0788116455078,132.3888702392578,metric_streamflow.csv
1057000,-0.0182918310165405,-0.2009360436166136,2.7260584831237797,0.3250264227390289,-90.42916870117188,131.32708740234375,metric_streamflow.csv
1073000,0.0038157105445861,-0.1670025651625548,2.563041925430298,0.3003602921962738,-86.3066635131836,134.41831970214844,metric_streamflow.csv
1078000,-0.017717957496643,-0.1808095957156164,2.46816635131836,0.3384113907814026,-89.09076690673828,114.96389770507812,metric_streamflow.csv
1123000,0.0472486019134521,-0.0488099778364155,2.160611391067505,0.4362040162086487,-83.78632354736328,99.95199584960938,metric_streamflow.csv
1134500,-0.0046496391296386,-0.1579027277055369,2.8670825958251958,0.3876401484012604,-89.4283447265625,114.13468933105467,metric_streamflow.csv
1137500,0.0209527015686035,-0.1079542113209417,3.130927562713623,0.4552860260009765,-88.14884185791016,91.93529510498048,metric_streamflow.csv
1139000,-0.0186713933944702,-0.1389496741884479,1.9698635339736936,0.3874596655368805,-86.54154205322266,95.03070068359376,metric_streamflow.csv
1139800,0.023415207862854,-0.0524027372200839,1.917812943458557,0.518067479133606,-82.97509002685547,101.63267517089844,metric_streamflow.csv
1142500,0.0096461176872253,-0.1338369386239666,2.1249170303344727,0.3777376413345337,-87.35165405273438,112.8714599609375,metric_streamflow.csv
1144000,0.0371487140655517,-0.1036043460984221,2.170830249786377,0.3791950941085815,-86.28646087646484,120.4719696044922,metric_streamflow.csv
